Port,Service,Protocol,Description,Assignee
164,cmip-agent,tcp,CMIP/TCP Agent,[Amatzia_Ben_Artzi]
165,xns-courier,tcp,Xerox,[Susie_Armstrong_2]
166,s-net,tcp,Sirius Systems,[Brian_Lloyd]
167,namp,tcp,NAMP,[Marty_Schoffstahl]
168,rsvd,tcp,RSVD,[Alan_Sandell]
169,send,tcp,SEND,[William_Oldwin]
170,print-srv,tcp,Network PostScript,[Brian_Reid]
171,multiplex,tcp,Network Innovations Multiplex,
172,cl-1,tcp,"Network Innovations CL/1 IANA assigned this well-formed service name as a replacement for ""cl/1"".",[Kevin_DeVault]
172,cl/1,tcp,Network Innovations CL/1,[Kevin_DeVault]
173,xyplex-mux,tcp,Xyplex,[Bob_Stewart]
174,mailq,tcp,MAILQ,[Rayan_Zachariassen]
175,vmnet,tcp,VMNET,[Christopher_Tengi]
176,genrad-mux,tcp,GENRAD-MUX,[Ron_Thornton]
177,xdmcp,tcp,X Display Manager Control Protocol,[Robert_W_Scheifler]
178,nextstep,tcp,NextStep Window Server,[Leo_Hourvitz]
179,bgp,tcp,Border Gateway Protocol,[Kirk_Lougheed]
180,ris,tcp,Intergraph,[Dave_Buehmann]
181,unify,tcp,Unify,[Daegis_Inc]
182,audit,tcp,Unisys Audit SITP,[Gil_Greenbaum]
183,ocbinder,tcp,OCBinder,
184,ocserver,tcp,OCServer,[Jerrilynn_Okamura]
185,remote-kis,tcp,Remote-KIS,
186,kis,tcp,KIS Protocol,[Ralph_Droms]
187,aci,tcp,Application Communication Interface,[Rick_Carlos]
188,mumps,tcp,Plus Five's MUMPS,[Hokey_Stenn]
189,qft,tcp,Queued File Transport,[Wayne_Schroeder]
190,gacp,tcp,Gateway Access Control Protocol,[C_Philip_Wood]
191,prospero,tcp,Prospero Directory Service,[B_Clifford_Neuman]
192,osu-nms,tcp,OSU Network Monitoring System,[Doug_Karl]
193,srmp,tcp,Spider Remote Monitoring Protocol,[Ted_J_Socolofsky]
194,irc,tcp,Internet Relay Chat Protocol,[Jarkko_Oikarinen]
195,dn6-nlm-aud,tcp,DNSIX Network Level Module Audit,
196,dn6-smm-red,tcp,DNSIX Session Mgt Module Audit Redir,[Lawrence_Lebahn]
197,dls,tcp,Directory Location Service,
198,dls-mon,tcp,Directory Location Service Monitor,[Scott_Bellew]
199,smux,tcp,SMUX,[Marshall_Rose]
200,src,tcp,IBM System Resource Controller,[Gerald_McBrearty]
201,at-rtmp,tcp,AppleTalk Routing Maintenance,
202,at-nbp,tcp,AppleTalk Name Binding,
203,at-3,tcp,AppleTalk Unused,
204,at-echo,tcp,AppleTalk Echo,
205,at-5,tcp,AppleTalk Unused,
206,at-zis,tcp,AppleTalk Zone Information,
207,at-7,tcp,AppleTalk Unused,
208,at-8,tcp,AppleTalk Unused,[Rob_Chandhok]
209,qmtp,tcp,The Quick Mail Transfer Protocol,[D_J_Bernstein]
210,z39-50,tcp,"ANSI Z39.50 IANA assigned this well-formed service name as a replacement for ""z39.50"".",[Mark_H_Needleman]
210,z39.50,tcp,ANSI Z39.50,[Mark_H_Needleman]
211,914c-g,tcp,"Texas Instruments 914C/G Terminal IANA assigned this well-formed service name as a replacement for ""914c/g"".",[Bill_Harrell]
211,914c/g,tcp,Texas Instruments 914C/G Terminal,[Bill_Harrell]
212,anet,tcp,ATEXSSTR,[Jim_Taylor]
213,ipx,tcp,IPX,[Don_Provan]
214,vmpwscs,tcp,VM PWSCS,[Dan_Shia]
215,softpc,tcp,Insignia Solutions,[Martyn_Thomas]
216,CAIlic,tcp,Computer Associates Int'l License Server,[Chuck_Spitz]
217,dbase,tcp,dBASE Unix,[Don_Gibson]
218,mpp,tcp,Netix Message Posting Protocol,[Shannon_Yeh]
219,uarps,tcp,Unisys ARPs,[Ashok_Marwaha]
